身分,區域別,性別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
不分平地山地,總計,計    ,533601,197879,84742,95065,55336,12699,13129,7088,6324,4386,742,1340,29118,775,8749,0,0,16229
不分平地山地,總計,男    ,260616,97455,40217,46150,26821,6196,6381,3421,3065,2177,359,666,14080,390,4398,0,0,8840
不分平地山地,總計,女    ,272985,100424,44525,48915,28515,6503,6748,3667,3259,2209,383,674,15038,385,4351,0,0,7389
不分平地山地,新北市　,計    ,52892,31174,6969,4114,3482,508,1179,184,474,68,43,273,1840,38,201,0,0,2345
不分平地山地,新北市　,男    ,24567,14876,3039,1878,1557,215,544,71,196,28,24,136,756,28,78,0,0,1141
不分平地山地,新北市　,女    ,28325,16298,3930,2236,1925,293,635,113,278,40,19,137,1084,10,123,0,0,1204
不分平地山地,臺北市　,計    ,15235,7346,2470,1416,941,221,431,157,143,33,19,38,752,23,195,0,0,1050
不分平地山地,臺北市　,男    ,6444,3243,936,634,388,102,198,57,54,11,4,17,302,11,70,0,0,417
不分平地山地,臺北市　,女    ,8791,4103,1534,782,553,119,233,100,89,22,15,21,450,12,125,0,0,633
不分平地山地,臺中市　,計    ,30460,8871,8441,5960,3865,396,591,280,184,60,140,39,543,11,510,0,0,569
不分平地山地,臺中市　,男    ,14085,4314,3912,2788,1637,184,261,115,90,18,56,13,233,5,204,0,0,255
不分平地山地,臺中市　,女    ,16375,4557,4529,3172,2228,212,330,165,94,42,84,26,310,6,306,0,0,314
不分平地山地,臺南市　,計    ,6749,2059,582,2138,925,184,278,95,21,12,16,11,207,4,44,0,0,173
不分平地山地,臺南市　,男    ,2796,855,214,882,409,77,120,35,11,6,7,3,86,2,15,0,0,74
不分平地山地,臺南市　,女    ,3953,1204,368,1256,516,107,158,60,10,6,9,8,121,2,29,0,0,99
不分平地山地,高雄市　,計    ,31878,8830,1190,7811,8862,2537,678,1146,48,31,13,23,468,5,79,0,0,157
不分平地山地,高雄市　,男    ,15020,4149,491,3403,4455,1253,310,571,18,14,5,10,231,2,30,0,0,78
不分平地山地,高雄市　,女    ,16858,4681,699,4408,4407,1284,368,575,30,17,8,13,237,3,49,0,0,79
不分平地山地,臺灣省　,計    ,395421,139138,64954,73493,37181,8840,9963,5212,5436,4180,510,955,25255,694,7717,0,0,11893
不分平地山地,臺灣省　,男    ,197181,69777,31557,36486,18337,4355,4942,2563,2691,2100,262,487,12439,342,3999,0,0,6844
不分平地山地,臺灣省　,女    ,198240,69361,33397,37007,18844,4485,5021,2649,2745,2080,248,468,12816,352,3718,0,0,5049
不分平地山地,宜蘭縣　,計    ,16132,1866,12064,273,272,49,94,21,16,4,2,7,406,4,30,0,0,1024
不分平地山地,宜蘭縣　,男    ,8017,857,6164,102,100,27,38,8,6,0,1,2,157,4,13,0,0,538
不分平地山地,宜蘭縣　,女    ,8115,1009,5900,171,172,22,56,13,10,4,1,5,249,0,17,0,0,486
不分平地山地,桃園縣　,計    ,64212,30503,18640,4824,3695,471,895,176,947,66,17,124,1684,72,303,0,0,1795
不分平地山地,桃園縣　,男    ,30886,15071,8959,2184,1536,238,458,72,386,13,7,71,776,48,135,0,0,932
不分平地山地,桃園縣　,女    ,33326,15432,9681,2640,2159,233,437,104,561,53,10,53,908,24,168,0,0,863
不分平地山地,新竹縣　,計    ,20660,1645,15769,477,355,59,105,25,1554,17,9,10,201,7,36,0,0,391
不分平地山地,新竹縣　,男    ,10268,748,8003,191,122,28,48,11,784,8,5,4,77,4,13,0,0,222
